step,x,theta,force
48,0.9054107636525314,0.006953712220123759,0.0024414807580797754
49,0.9356665621889539,0.0004279069329376972,-0.0012207403790398877
50,0.9659127587895698,-0.006042608300417401,-0.005493331705679495
51,0.9961245347478647,-0.012458976482328863,-0.010681478316599017
52,1.0262713398261092,-0.018813420443961684,-0.015564439832758568
53,1.0563245147791338,-0.025100687004454336,-0.021362956633198035
54,1.086249667592006,-0.03130657072488475,-0.026245918149357585
55,1.1160181051135902,-0.03742503209951553,-0.028077028717917417
56,1.1456201662990972,-0.04347810382669331,-0.030518509475997192
57,1.1750423548295212,-0.04948156332286092,-0.03326517532883694
58,1.2042692508514528,-0.055447931603661904,-0.03662221137119663
59,1.2332816104576436,-0.061383722015746094,-0.040284432508316294
60,1.2620582749032576,-0.06729237982636067,-0.045167394024475845
61,1.2905704579618098,-0.07316577240094563,-0.04943998535111545
62,1.3187931778178301,-0.07900133351290389,-0.05340739158299509
63,1.3467033493527256,-0.08479915744550746,-0.05798516800439467
64,1.3742740692227529,-0.09055343678572546,-0.06256294442579424
65,1.4014784260395228,-0.09625816789581468,-0.06714072084719383
66,1.4282894989272337,-0.10190711695987122,-0.07110812707907346
67,1.4546841644212056,-0.10749947078572153,-0.0750755333109531
68,1.4806392855578336,-0.11303410587563492,-0.07995849482711265
69,1.5061260001101218,-0.11850106706721152,-0.08423108615375224
70,1.5311192409951204,-0.12389576757893808,-0.08972441785943175
71,1.5555863110115373,-0.1292019035214284,-0.09521774956511124
72,1.5794944980114924,-0.13440278568093422,-0.10101626636555072
73,1.6028091673130331,-0.1394784070210489,-0.11322367015594959
74,1.6254556981340003,-0.14434877023548093,-0.12298959318826869
75,1.6473746751034029,-0.14895587741496577,-0.130619220557268
76,1.6685199564878008,-0.1532603373674602,-0.1348918118839076
77,1.6888662614254146,-0.15725222900319405,-0.13641773735770746
78,1.7084053455862196,-0.16094512913592185,-0.1382488479262673
79,1.7271269711757773,-0.16434780795659173,-0.13916440321054718
80,1.7450265192446306,-0.1674755839751941,-0.14099551377910702
81,1.7620935799009496,-0.17033347588612147,-0.14313180944242684
82,1.7783157618514418,-0.17292194061493918,-0.1446577349162267
83,1.7936843988405309,-0.175245341008856,-0.14648884548478652
84,1.8081888446406833,-0.1773035084402357,-0.1477095858638264
85,1.8218221785328024,-0.17910019759427834,-0.14862514114810632
86,1.8345793032409794,-0.18064026852149895,-0.14923551133762628
87,1.8464569457007358,-0.1819297059728526,-0.1501510666219062
88,1.8574498562366268,-0.18297003655811336,-0.15076143681142612
89,1.867554612499771,-0.18376397764181002,-0.15137180700094607
90,1.8767677188166068,-0.18431264032012692,-0.15076143681142612
91,1.8850932103712377,-0.18462675919121888,-0.14954069643238624
92,1.8925388514877326,-0.1847210888167273,-0.14893032624286628
93,1.8991085356715471,-0.1846032619224614,-0.14984588152714623
94,1.904796587837788,-0.18426547868806167,-0.14893032624286628
95,1.9096086753195032,-0.1837153860201038,-0.14831995605334636
96,1.9135485001402146,-0.182956409072677,-0.14709921567430648
97,1.9166235038006751,-0.18199621062619947,-0.1455732902005066
98,1.918842967766621,-0.18084391302945113,-0.14526810510574664
99,1.920208511376351,-0.1794961293373023,-0.14404736472670676
100,1.9207274006196349,-0.17795665018206797,-0.141300698873867
101,1.9204163500052636,-0.17624204110627686,-0.14007995849482713
102,1.9192825139674161,-0.17435361562624277,-0.1370281075472274
103,1.9173444035582492,-0.17230841318540957,-0.1358073671681875
104,1.9146090734255619,-0.17010552422813996,-0.13428144169438766
105,1.9110854343884052,-0.1677458496612213,-0.13183996093630787
